Age,Gender,Impressions,Clicks,Signed_In
62,1,3,0,1
66,1,3,0,1
0,0,2,0,0
27,1,10,0,1
27,0,4,0,1
0,0,6,1,0
0,0,5,0,0
0,0,5,1,0
0,0,7,0,0
50,1,3,0,1
16,1,4,0,1
19,1,4,0,1
19,0,2,0,1
58,1,10,0,1
70,1,4,1,1
40,0,7,0,1
86,0,5,0,1
66,1,2,0,1
37,0,5,0,1
0,0,4,2,0
59,0,4,0,1
66,0,8,0,1
62,1,3,0,1
63,1,4,0,1
64,0,7,0,1
0,0,4,0,0
60,1,6,0,1
46,0,6,0,1
51,1,3,0,1
49,1,6,0,1
50,1,4,1,1
0,0,2,0,0
0,0,5,0,0
29,0,3,0,1
0,0,4,1,0
0,0,5,0,0
17,1,5,0,1
46,1,4,0,1
39,1,3,0,1
0,0,10,1,0
67,1,3,0,1
0,0,3,0,0
46,1,4,0,1
43,1,3,0,1
35,0,1,0,1
56,1,5,0,1
46,0,3,0,1
0,0,6,0,0
30,1,5,0,1
0,0,5,0,0
